
 Lista de Imóveis da Caixa;;Data de geração:;11/09/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1555518212585 ;AC ;BUJARI ;CENTRO ;RUA PROJETADA 2, N. SN, LT 19 QD B ;170.000,00;170.000,00;0.00;Não;Casa, 0.00 de área total, 75.17 de área privativa, 360.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555518212585
 1555517646018 ;AC ;EPITACIOLANDIA ;LIBERDADE ;RUA DUQUE DE CAXIAS, N. 647, LT 10, QD 11 ;170.000,00;170.000,00;0.00;Não;Casa, 0.00 de área total, 122.17 de área privativa, 300.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517646018
 1787700616670 ;AC ;RIO BRANCO ;FLORESTA SUL ;AVENIDA DAS FLORES, N. SN, Apto 1007,  BL C ;369.000,00;369.000,00;0.00;Não;Apartamento, 131.77 de área total, 64.00 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787700616670
 8005601027382 ;AL ;ARAPIRACA ;PLANALTO ;RUA SALVELINA LEITE, N. 50, QD B, LT 12 ;170.000,00;170.000,00;0.00;Não;Casa, 0.00 de área total, 82.35 de área privativa, 210.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8005601027382
 8444423586611 ;AL ;ARAPIRACA ;BOA VISTA ;RUA LUIZ TERTULIANO DA SILVA, N. 44, LT 10 QD G ;165.000,00;165.000,00;0.00;Não;Casa, 66.35 de área total, 66.35 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423586611
 1444401561022 ;AL ;ARAPIRACA ;VERDES CAMPOS ; RUA PROJETADA C, N. 304, LT 33  QD E ;190.000,00;190.000,00;0.00;Não;Casa, 83.02 de área total, 83.02 de área privativa, 144.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401561022
 8444424539641 ;AL ;ARAPIRACA ;BOM SUCESSO ;RUA ANTONIA LEAO DE OLIVEIRA, N. 98, LT 10 QD A ;179.000,00;179.000,00;0.00;Não;Casa, 92.09 de área total, 92.09 de área privativa, 168.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424539641
 8787705350316 ;AL ;ARAPIRACA ;BOM SUCESSO ;AVENIDA PIO XII, N. 889, C10 ;162.000,00;162.000,00;0.00;Não;Casa, 50.66 de área total, 50.66 de área privativa, 127.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705350316
 8444407769472 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA DICIONARISTA AURELIO BUARQUE DE HOLANDA, N. 248, LT 13 QD A ;197.000,00;197.000,00;0.00;Não;Casa, 0.00 de área total, 83.38 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407769472
 1444419341415 ;AL ;ARAPIRACA ;VERDES CAMPOS ;RUA JOSE FIRMINO NETO, N. 169, LOTE 16 QUADRA A ;402.142,72;304.000,00;0.00;Não;Casa, 138.07 de área total, 138.07 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419341415
 8444430685000 ;AL ;ATALAIA ;JOSE PAULINO ; RUA EM PROJETO, N. SN, LT 01 QD C LOT BITTENCOURT ;165.928,58;107.000,00;0.00;Não;Casa, 43.51 de área total, 43.51 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430685000
 1444418476155 ;AL ;BATALHA ;NOVA ESPERANCA ;RUA ALONSO MARTINS, N. 245, ;322.555,50;293.000,00;0.00;Não;Casa, 0.00 de área total, 154.35 de área privativa, 196.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418476155
 8444408241749 ;AL ;CHA PRETA ;CENTRO ; RUA MANOEL ROBERTO BRANDÃO FILHO, N. SN, ;180.000,00;180.000,00;0.00;Não;Casa, 92.50 de área total, 92.50 de área privativa, 130.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408241749
 1444406952372 ;AL ;COITE DO NOIA ;CENTRO ; RUA EM PROJETO A E B, N. SN, LT 01B ;180.614,87;283.400,00;36.27;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1404.26 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406952372
 8444409454975 ;AL ;DELMIRO GOUVEIA ;Bairro Novo ; RUA PROJETADA, N. 1084, LT 02 QD 124 ;144.325,98;137.500,22;0.00;Não;Casa, 73.40 de área total, 73.40 de área privativa, 108.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409454975
 8444414478330 ;AL ;FEIRA GRANDE ;CENTRO ; RUA PROJETADA 10, N. 305, LT 13 QD C ;175.000,00;175.000,00;0.00;Não;Casa, 99.38 de área total, 99.38 de área privativa, 240.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414478330
 1555531792948 ;AL ;IBATEGUARA ;CENTRO ; RUA JOSE ALVES, N. 250, ;120.172,39;102.100,00;0.00;Não;Casa, 200.00 de área total, 200.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555531792948
 8555512951090 ;AL ;MACEIO ;SANTOS DUMONT ;AVENIDA ROSALVO BORGES DA SILVA, N. 624, CASA 16 LOTE 07 QUADRA N ;65.921,81;115.000,00;42.68;Não;Casa, 83.84 de área total, 49.11 de área privativa, 49.11 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512951090
 8555527416676 ;AL ;MACEIO ;SANTA AMELIA ; AVENIDA JORGE MONTENEGRO BARROS, N. 3639, Apto 136, CS 136 ;133.475,77;220.835,19;39.56;Não;Apartamento, 57.67 de área total, 49.02 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527416676
 8787704729265 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; ALAMEDA DAS AMENDOEIRAS, N. 406, CS 55  QD D ;111.816,50;185.000,00;39.56;Não;Casa, 77.43 de área total, 58.48 de área privativa, 89.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704729265
 1555502666549 ;AL ;MACEIO ;TRAPICHE DA BARRA ;RUA AMINADAB VALENTE, N. 594, Apto 103, ;367.093,04;576.000,00;36.27;Sim;Apartamento, 148.23 de área total, 76.63 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555502666549
 1444401933370 ;AL ;MACEIO ;SERRARIA ; TRAVESSA PRES GET VARGAS 2 ANTIGA RUA PROJETO, N. 500, Apto 401, BL IV ;232.760,93;275.340,00;15.47;Não;Apartamento, 110.82 de área total, 50.35 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401933370
 8787705915500 ;AL ;MACEIO ;ANTARES ; RUA DR NEVES PINTO, N. 550, Apto 303, BL 01 ;223.000,00;223.000,00;0.00;Não;Apartamento, 57.52 de área total, 44.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705915500
 8787702929917 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;RUA GILBERTO VIEIRA LEITE, N. 194, Apto 105, BLOCO G  1º PAVIMENTO ;170.000,00;170.000,00;0.00;Não;Apartamento, 56.41 de área total, 48.46 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702929917
 8787704590020 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA MENINO MARCELO, N. 3850, Apto 504, BL 02 ;210.000,00;210.000,00;0.00;Não;Apartamento, 51.23 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704590020
 10304791 ;AL ;MACEIO ;PONTA VERDE ;RUA DESPORTISTA HUMBERTO GUIMARAES, N. 768, Apto 203 ;786.500,00;786.500,00;0.00;Não;Apartamento, 0.00 de área total, 94.88 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10304791
 1444409972358 ;AL ;MACEIO ;PONTA VERDE ;AVENIDA PROFESSOR SANDOVAL ARROXELAS, N. 552, Apto 302 ;435.000,00;435.000,00;0.00;Sim;Apartamento, 0.00 de área total, 81.32 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409972358
 8555525518030 ;AL ;MACEIO ;SANTA AMELIA ;AVENIDA JORGE MONTENEGRO BARROS, N. 3639, CS 159 TIPO B PAV TERREO ;190.000,00;190.000,00;0.00;Não;Casa, 109.95 de área total, 48.23 de área privativa, 54.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525518030
 8444405870567 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;1ª RUA PROJETADA, N. SN, CASA 04V QD VI MOD I ;131.500,00;131.500,00;0.00;Não;Casa, 50.05 de área total, 50.05 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405870567
 8555515686320 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; RUA EM PROJETO, N. 33, QUADRA OII LOTE 16  MODULO II ;126.257,10;126.257,10;0.00;Não;Casa, 50.05 de área total, 50.05 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515686320
